metric_name,metric_value
at_risk_waus,71154.0
at_risk_maus,219944.0
RURR,11.46
CURR,35.78
NURR,5.94
iMAURR,1.71
current_user,7876.0
SURR,5.5
resurrected_user,2711.0
reactivated_user,4171.0
dead_users,1698181.0
MAU流失率,98.29
复活率,0.15
new_user,2240.0
WAU流失率,93.12
iWAURR,6.88
重新激活率,1.71
